编号,产品名称,类别,返佣比例,Cookie时长,推广链接,中英文,备注/亮点
022,腾讯云 / 混元,02-国内AI大模型/产品,5%-20% (云推客),90天,https://cloud.tencent.com/act/cps,中文,腾讯云 CPS 计划混元+第三方模型
023,火山引擎 / 豆包,02-国内AI大模型/产品,10%-20% (伙伴合作),90天,https://partner.volcengine.com/,中文,字节系 CPS 含豆包大模型 API
024,百度智能云 / 文心,02-国内AI大模型/产品,5%-15% (伙伴中心),90天,https://cloud.baidu.com/cps,中文,百度云 CPS 文心+千帆
025,Kimi (Moonshot),02-国内AI大模型/产品,暂无公开,—,https://kimi.moonshot.cn/,中文,月之暗面 Moonshot 长文本强
026,智谱 AI (zhipu.ai),02-国内AI大模型/产品,10%-20% (企业合作),30天,https://www.zhipu.ai/,中文,GLM 系列企业级生态合作
027,MiniMax (chat.minimax.com),02-国内AI大模型/产品,10%-15% (商务合作),30天,https://chat.minimax.com/,中文,国内一线大模型有招商计划
028,DeepSeek (deepseek.com),02-国内AI大模型/产品,暂无公开,—,https://www.deepseek.com/,中文,深度求索开源大模型
029,MiniMax海螺 AI,02-国内AI大模型/产品,10%-20% (创作者计划),30天,https://hailuoai.com/,中文,MiniMax 旗下视频生成对标 Sora
030,字节即梦 AI,02-国内AI大模型/产品,10%-15% (创作者激励),30天,https://jimeng.jianying.com/,中文,剪映团队图像+视频生成
031,快手可灵 AI (klingai.com),02-国内AI大模型/产品,10%-30% (创作者佣金),30天,https://klingai.com/,中文,快手可灵海外有 Commission Share
032,百度文心一格,02-国内AI大模型/产品,10%-15%,30天,https://yige.baidu.com/,中文,图像生成+API
033,通义万相,02-国内AI大模型/产品,10%-20% (云大使),30天,https://wanxiang.aliyun.com/,中文,阿里系图像生成
034,讯飞星火 (xfyun.cn),02-国内AI大模型/产品,10%-20% (企业合作),30天,https://www.xfyun.cn/,中文,科大讯飞含语音+大模型
035,商汤日日新 (sensenova),02-国内AI大模型/产品,10%-15% (企业合作),30天,https://platform.sensenova.cn/,中文,商汤大模型 B 端为主
036,腾讯元宝,02-国内AI大模型/产品,暂无公开,—,https://yuanbao.tencent.com/,中文,C 端 AI 助手
037,字节豆包 (Doubao),02-国内AI大模型/产品,暂无公开,—,https://www.doubao.com/,中文,C 端 AI 助手
038,WPS AI (ai.wps.cn),02-国内AI大模型/产品,10%-20% (商务合作),30天,https://ai.wps.cn/,中文,金山办公 AI
039,腾讯会议 AI 小助手,02-国内AI大模型/产品,企业版返佣,30天,https://meeting.tencent.com/,中文,会议转录+AI 总结
040,法睿 (tongyi.aliyun.com/farui),02-国内AI大模型/产品,10%-20%,30天,https://tongyi.aliyun.com/farui/home,中文,阿里通义法睿法律 AI
041,AiPPT (aippt.cn),02-国内AI大模型/产品,20%-30% (CPS),30天,https://www.aippt.cn/,中文,一句话生成 PPT 热门 AI 工具
042,讯飞智文 (zhiwen.xfyun),02-国内AI大模型/产品,10%-20%,30天,https://zhiwen.xfyun.cn/,中文,讯飞系 PPT 工具
043,笔魂AI (bihun.cn),02-国内AI大模型/产品,15%-25%,30天,https://www.bihun.cn/,中文,国内 AI 绘画工具
044,简单AI (jianiao.ai),02-国内AI大模型/产品,15%-25%,30天,https://www.jianiao.com/,中文,搜狐旗下 AI 图像生成
045,言秘书 (yanmishu.com),02-国内AI大模型/产品,10%-20%,30天,https://www.yanmishu.com/,中文,AI 文档/PPT 工具
046,即创 (jichuang),02-国内AI大模型/产品,10%-20% (创作者激励),30天,https://www.jichuang.com/,中文,巨量引擎 AI 营销平台
047,创一AI (chuangyi.cps),04-AI写作/内容,20%-30% (CPS),30天,https://chuangyi.com/,中文,AI 脚本+短视频脚本
048,KreadoAI (kreadoai.com),05-AI图像/视频,50% 一次性,30天,https://www.kreadoai.com/,中英,AI 数字人口播视频跨境营销强
049,Nextify (nextify.cn),10-AI营销/销售/CRM,15%-25%,30天,https://www.nextify.cn/,中文,AI 私域+营销工具
050,夜遇AI (yeyu.ai),12-情感AI/陪伴,10%-20%,30天,https://yeyu.ai/,中文,AI 陪聊应用 C 端付费
051,Linkfox (linkfox.com),10-AI营销/销售/CRM,10%-20%,30天,https://www.linkfox.com/,中文,跨境电商 AI 选品+Listing+作图
052,Aidge (aidc-ai.com),10-AI营销/销售/CRM,企业合作,30天,https://aidc-ai.com/,中英,阿里国际 AI 平台全流程赋能
053,Anthropic Claude,03-海外AI大模型,$100M Partner Network,90天,https://www.anthropic.com/partners,英文,100M Partner Network 覆盖 Claude API/Code
054,OpenAI / ChatGPT,03-海外AI大模型,暂无公开联盟,—,https://openai.com/,英文,未开放 CPS
055,Perplexity Pro,17-AI音乐/加密/其他,$10/试用 + $20/年付,30天,https://www.perplexity.ai/,英文,AI 搜索头部 Pro 订阅
056,Kagi (kagi.com),17-AI音乐/加密/其他,$25/订阅,30天,https://kagi.com/,英文,付费搜索引擎小众高质量
057,Mistral AI,03-海外AI大模型,暂无公开,—,https://mistral.ai/,英文,法国开源大模型企业销售
058,Cohere,03-海外AI大模型,企业销售返佣,60天,https://cohere.com/,英文,企业 RAG/检索增强
059,Grok (xAI),03-海外AI大模型,暂无公开,—,https://x.ai/,英文,X 平台绑定
060,OpenRouter,17-AI音乐/加密/其他,$5/被推荐,—,https://openrouter.ai/,英文,海外最火模型聚合
061,Jasper AI,04-AI写作/内容,30% recurring (12月),30天,https://www.jasper.ai/affiliates,英文,海外老牌 AI 写作企业客户单价高
062,Copy.ai,04-AI写作/内容,45% 首年,60天,https://www.copy.ai/affiliates,英文,高比例一次性首年
063,Writesonic,04-AI写作/内容,30% 终身 recurring,30天,https://writesonic.com/affiliate,英文,终身返佣稀缺款
064,Castmagic,04-AI写作/内容,30% recurring × 18 月,30天,https://castmagic.io/affiliates,英文,音视频转博客/推文
065,HeadshotPro,05-AI图像/视频,30% recurring,—,https://www.headshotpro.com/affiliate,英文,专业 AI 头像照
066,Smartli,04-AI写作/内容,20% recurring,30天,https://smartli.com/,英文,Etsy/电商产品图+文案
067,Logome.ai,04-AI写作/内容,50% 一次性,30天,https://www.logome.ai/affiliate,英文,AI Logo 生成器
068,Mixo,07-AI编程/开发/Agent,50% 一次性,90天,https://www.mixo.io/affiliate,英文,AI 一句话建站
069,Gamma,04-AI写作/内容,25% recurring,90天,https://gamma.app/affiliates,中英,AI 演示+文档中英支持好
070,Beautiful.ai,04-AI写作/内容,30% recurring,30天,https://www.beautiful.ai/affiliates,英文,演示 PPT 工具
071,SlideSpeak,04-AI写作/内容,20% recurring,30天,https://slidespeak.co/,英文,AI 总结文档生成 PPT
072,Narrato,04-AI写作/内容,30% recurring (12月),60天,https://narrato.io/,英文,AI 内容生产平台
073,ArticleX,04-AI写作/内容,30% recurring,—,https://www.articlex.com/,英文,音视频转 SEO 文章
074,TextCortex,04-AI写作/内容,30% 终身,—,https://textcortex.com/,英文,Zeno Writer 浏览器扩展
075,Anyword,04-AI写作/内容,40% recurring,90天,https://anyword.com/,英文,AI 营销文案
076,Frase,04-AI写作/内容,30% 终身 recurring,60天,https://www.frase.io/affiliate,英文,SEO 内容优化
077,Scalenut,04-AI写作/内容,30% 终身 recurring,60天,https://www.scalenut.com/affiliate,英文,AI SEO 一体化
078,Surfer SEO,04-AI写作/内容,25% 终身 recurring,60天,https://surferseo.com/affiliates,英文,SEO 内容优化
079,AISEO,04-AI写作/内容,30% recurring,30天,https://aiseo.ai/,英文,E-E-A-T 优化
080,OutlierKit,21-YouTube/视频专题,20% recurring (12月),30天,https://outlierkit.com/,英文,YouTube 竞品分析
081,Otter.ai,06-AI语音/配音,Up to 60%,30天,https://otter.ai/affiliates,英文,高比例会议转录
082,Voibe (Mac 听写),06-AI语音/配音,25% recurring + 25% 终身,30天,https://www.getvoibe.com/affiliate,英文,Mac 离线听写隐私优先
083,Munch AI,05-AI图像/视频,15% recurring (12月),60天,https://www.getmunch.com/affiliate,英文,长视频自动剪短
084,Wispr Flow,06-AI语音/配音,25%-30% recurring (12月),30天,https://wisprflow.ai/affiliates,英文,Mac/Win 听写输入
085,Bitskout,04-AI写作/内容,30% 终身,—,https://www.bitskout.com/,英文,从文档/邮件自动抽数据
086,Mem AI,09-AI笔记/办公/协作,20% recurring,30天,https://mem.ai/affiliates,英文,AI 笔记+知识管理
087,Reflect Notes,09-AI笔记/办公/协作,20% recurring,30天,https://reflect.app/affiliates,英文,AI 笔记+双向链接
088,Bloomfire,09-AI笔记/办公/协作,20% recurring,30天,https://bloomfire.com/affiliates,英文,AI 知识管理
089,Midjourney,05-AI图像/视频,暂无公开,—,https://www.midjourney.com/,英文,Discord 内付费暂未开放
090,Ideogram,05-AI图像/视频,创作者俱乐部 10%-20%,30天,https://ideogram.ai/,英文,高质量文字渲染图像
091,Leonardo AI,05-AI图像/视频,30% recurring,30天,https://leonardo.ai/affiliate,英文,Stable Diffusion 增强版
092,Synthesia,05-AI图像/视频,20%-25% recurring (12月),60天,https://www.synthesia.io/affiliate,英文,海外数字人龙头企业客户
093,HeyGen,05-AI图像/视频,25% recurring (12月),30天,https://www.heygen.com/affiliate,英文,AI 数字人+翻译
094,Pictory,05-AI图像/视频,20%-50% 阶梯,30天,https://pictory.ai/affiliate,英文,文本转视频
095,InVideo,05-AI图像/视频,25%-50% recurring,120天,https://invideo.io/affiliate,英文,无门槛+长 cookie
096,Runway (runwayml.com),05-AI图像/视频,20% recurring,30天,https://runwayml.com/,英文,Gen-3 视频生成
097,Hour One,05-AI图像/视频,20% recurring (12月),—,https://hourone.ai/,英文,虚拟主播
098,Elai.io,05-AI图像/视频,25%,—,https://elai.io/,英文,文本转视频
099,Kapwing,05-AI图像/视频,Up to 25%,30天,https://www.kapwing.com/affiliate,英文,在线视频编辑
100,Vidyo,05-AI图像/视频,20%-35%,—,https://vidyo.ai/,英文,AI 短剪
101,BasedLabs,05-AI图像/视频,40% 终身,—,https://www.basedlabs.ai/,英文,高比例终身
102,Zebracat,05-AI图像/视频,30% recurring,90天,https://zebracat.ai/,英文,文本/文章转视频
103,Fliki,05-AI图像/视频,30% + 里程碑奖励,30天,https://fliki.ai/affiliate,英文,图文+配音转视频
104,VEED,05-AI图像/视频,25%,7天,https://www.veed.io/affiliate,英文,视频编辑平台
105,DeepBrain,05-AI图像/视频,30%,—,https://www.deepbrain.io/,英文,AI 虚拟人视频
106,Colossyan,05-AI图像/视频,25%-50%,90天,https://www.colossyan.com/affiliate,英文,企业培训 AI 视频
107,Lensa AI,05-AI图像/视频,15%-20%,30天,https://prisma-ai.com/lensa,英文,AI 头像 APP
108,Remove.bg / Canva 抠图,05-AI图像/视频,20%-30%,30天,https://www.remove.bg/api,英文,经典 AI 抠图
109,PhotoAI.com,05-AI图像/视频,20%,—,https://photoai.com/,英文,上传照片生成各种风格
110,DeepSwap,05-AI图像/视频,Up to 50%,90天,https://www.deepswap.ai/,英文,高比例 AI 换脸
111,LALAL.AI,06-AI语音/配音,30%,30天,https://www.lalal.ai/,英文,人声/伴奏分离
112,Vidnoz,05-AI图像/视频,30% 终身,30天,https://www.vidnoz.com/,中英,免费 AI 数字人视频
113,Descript,05-AI图像/视频,15%-30% recurring (12月),30-90天,https://www.descript.com/affiliates,英文,音视频+脚本编辑器
114,Pictory & Lumen5,05-AI图像/视频,20% recurring,30天,https://lumen5.com/affiliate,英文,博客转视频
115,Lenso.ai,05-AI图像/视频,30%,30天,https://lenso.ai/affiliates,英文,反向图像搜索
116,ElevenLabs,06-AI语音/配音,22%-55% recurring (12月),30天,https://elevenlabs.io/affiliates,中英,语音 AI 龙头多语言
117,Murf AI,06-AI语音/配音,20% recurring (24月),90天,https://murf.ai/partner-with-us/affiliate,英文,企业级配音
118,Speechify,06-AI语音/配音,50% × 90 天,90天,https://speechify.com/affiliate,英文,TTS+有声书
119,Play.ht,06-AI语音/配音,25%,60天,https://play.ht/affiliate,英文,142+ 语言 TTS
120,LOVO AI,06-AI语音/配音,20%-30%,30天,https://www.lovo.ai/,英文,视频配音
121,Resemble AI,06-AI语音/配音,20% recurring,30天,https://www.resemble.ai/,英文,声音克隆
122,Wellsaid Labs,06-AI语音/配音,20% recurring,30天,https://wellsaidlabs.com/,英文,企业级配音
123,Synthflow AI,06-AI语音/配音,20% × 12月,30天,https://synthflow.ai/affiliates,英文,无代码语音 AI 代理
124,Voiceflow,06-AI语音/配音,20% recurring,30天,https://www.voiceflow.com/affiliates,英文,无代码 AI 语音
125,Cursor (cursor.sh),07-AI编程/开发/Agent,暂无公开,—,https://cursor.sh/,英文,暂未公开私下有 KOL 合作
126,Windsurf (codeium.com),07-AI编程/开发/Agent,暂无公开,—,https://codeium.com/windsurf,英文,Codeium 系 AI IDE
127,GitHub Copilot,07-AI编程/开发/Agent,GitHub Partner,30天,https://github.com/partners,英文,官方合作伙伴计划
128,Codeium,07-AI编程/开发/Agent,暂无公开,—,https://codeium.com/,英文,免费 AI 代码补全
129,Replit,07-AI编程/开发/Agent,Replit 联盟,30天,https://replit.com/affiliates,英文,云端 IDE+Ghostwriter
130,Lovable (lovable.dev),07-AI编程/开发/Agent,暂无公开,—,https://lovable.dev/,英文,AI Vibe Coding 平台
131,Bolt.new (bolt.new),07-AI编程/开发/Agent,暂无公开,—,https://bolt.new/,英文,StackBlitz 旗下
132,v0.dev (vercel),05-AI图像/视频,暂无公开,—,https://v0.dev/,英文,Vercel 旗下 AI UI 生成
133,Runpod,07-AI编程/开发/Agent,10% × 6月,30天,https://runpod.io/affiliates,英文,GPU 云端 AI 部署
134,Browse AI,07-AI编程/开发/Agent,20% 终身,30天,https://www.browse.ai/affiliates,英文,无代码网页抓取
135,MindStudio (YouAI),07-AI编程/开发/Agent,20% × 18月,30天,https://youai.ai/affiliates,英文,无代码 AI 代理 200+ 模型
136,Pinecone,07-AI编程/开发/Agent,10% × 12月,30天,https://www.pinecone.com/affiliates,英文,向量数据库龙头
137,Base44,07-AI编程/开发/Agent,暂无公开,—,https://base44.com/,英文,AI App 生成新秀
138,Magic Patterns,07-AI编程/开发/Agent,暂无公开,—,https://www.magicpatterns.com/,英文,AI 组件生成
139,Bito AI,07-AI编程/开发/Agent,20% recurring,30天,https://bito.ai/affiliates,英文,AI 代码审查
140,Canva,04-AI写作/内容,20% (Pro) / $36/单,30天,https://www.canva.com/affiliates,中英,全球设计工具 AI 功能齐备
141,Webflow,07-AI编程/开发/Agent,50% × 12月,90天,https://webflow.com/affiliates,英文,无代码建站
142,Wix,07-AI编程/开发/Agent,$100/付费 + 30% 续,30天,https://www.wix.com/affiliate,中英,AI 网站搭建中文支持好
143,Squarespace,07-AI编程/开发/Agent,$100-$200/单,30天,https://www.squarespace.com/affiliates,英文,建站平台
144,Shopify,08-AI演示/建站/设计,200% 一次性 (最高 $150),30天,https://www.shopify.com/affiliates,中英,全球电商 SaaS 龙头
145,Framer,07-AI编程/开发/Agent,暂无公开,—,https://www.framer.com/affiliates,英文,无代码建站+AI
146,Bubble,08-AI演示/建站/设计,20% recurring (12月),30天,https://bubble.io/affiliates,英文,无代码应用平台
147,Leadpages,08-AI演示/建站/设计,Up to $400 + 10-50% 终身,90天,https://www.leadpages.net/affiliates,英文,着陆页+AI
148,Typeform,08-AI演示/建站/设计,$20 首单 + 15% recurring,—,https://www.typeform.com/affiliates,英文,动态表单生成器
149,Jotform,08-AI演示/建站/设计,30% × 12月 + $5 奖励,60天,https://www.jotform.com/affiliates,英文,无代码表单
150,Tally,08-AI演示/建站/设计,20% recurring,30天,https://tally.so/affiliates,英文,免费 Notion-like 表单
151,Adobe (Creative Cloud),04-AI写作/内容,85% 月付首月 / 8.33% 年付,30天,https://www.adobe.com/affiliates,中英,Adobe 全家桶
152,Prezi,04-AI写作/内容,50% (2026/7 截止),30天,https://prezi.com/affiliates,中英,动态演示工具
153,Elementor,08-AI演示/建站/设计,最高 65%/笔,45天,https://elementor.com/affiliates,英文,WordPress 页面构建器
154,Looka (Logo Maker),04-AI写作/内容,20% 一次性,30天,https://looka.com/affiliates,英文,AI Logo 生成
155,LogoAI (logoai.com),04-AI写作/内容,20% 一次性,30天,https://www.logoai.com/,英文,AI Logo + 品牌设计
156,Tailor Brands,04-AI写作/内容,20% 一次性,30天,https://www.tailorbrands.com/,英文,AI Logo + LLC
157,SegmentUI,08-AI演示/建站/设计,20% recurring,30天,https://segmentui.com/affiliate,英文,UI 组件库+AI
158,Glide,08-AI演示/建站/设计,20% recurring,30天,https://www.glideapps.com/affiliates,英文,无代码应用+AI
159,Notion (含 Notion AI),09-AI笔记/办公/协作,50% 首年,90-180天,https://www.notion.com/affiliates,中英,Notion AI 高比例返佣
160,ClickUp,09-AI笔记/办公/协作,$28/$10/$2.5 阶梯 (CPA),30天,https://clickup.com/affiliates,英文,AI 生产力平台
161,Asana,09-AI笔记/办公/协作,$0.10/试用 + 5% 续,30天,https://asana.com/affiliates,中英,项目管理
162,monday.com,09-AI笔记/办公/协作,Up to 100% 首年,—,https://monday.com/affiliates,中英,高额首年返佣
163,Trello,09-AI笔记/办公/协作,暂无公开,—,https://trello.com/,中英,Atlassian 旗下
164,Airtable,09-AI笔记/办公/协作,Up to $250/单,30天,https://airtable.com/affiliates,英文,无代码数据库
165,Reclaim.AI,09-AI笔记/办公/协作,25%-40% recurring + $1/工作邮箱,90天,https://reclaim.ai/affiliates,英文,AI 日历+任务规划
166,Motion,09-AI笔记/办公/协作,20% recurring,30天,https://www.usemotion.com/affiliates,英文,AI 自动排程
167,Zapier,09-AI笔记/办公/协作,25% recurring,30天,https://zapier.com/affiliates,英文,无代码自动化+AI
168,Make (Integromat),09-AI笔记/办公/协作,20% recurring,30天,https://www.make.com/en/affiliates,英文,无代码自动化
169,n8n,09-AI笔记/办公/协作,20% recurring,30天,https://n8n.io/affiliates,英文,开源自动化
170,Trainual,09-AI笔记/办公/协作,10% 联盟 / 20% 合作,30天,https://trainual.com/affiliates,英文,员工培训+AI 流程
171,HubSpot,10-AI营销/销售/CRM,30% recurring × 1年,180天,https://www.hubspot.com/affiliates,中英,全栈 CRM+AI 营销 cookie 最长
172,ActiveCampaign,10-AI营销/销售/CRM,20%-30% recurring,90天,https://www.activecampaign.com/affiliates,英文,邮件营销+CRM
173,GetResponse,10-AI营销/销售/CRM,40%-60% recurring (12月) 或 $100,120天,https://www.getresponse.com/affiliate,中英,高比例邮件营销
174,Databox,10-AI营销/销售/CRM,20% × 12月 (上限 $1200),30天,https://databox.com/affiliate,英文,AI 分析仪表板
175,Nutshell,10-AI营销/销售/CRM,20%-40% 首年,30天,https://www.nutshell.com/affiliates,英文,CRM+营销自动化
176,ManyChat,10-AI营销/销售/CRM,30% recurring,30天,https://manychat.com/affiliates,英文,自动化聊天营销
177,AdCreative.ai,10-AI营销/销售/CRM,30% 终身循环 + $2000 奖励,30天,https://www.adcreative.ai/affiliate,英文,AI 创意广告+高奖金
178,Lusha,10-AI营销/销售/CRM,20% × 12月,30天,https://www.lusha.com/affiliates,英文,B2B 销售线索
179,AiSDR,10-AI营销/销售/CRM,20% × 12月,30天,https://aisdr.com/affiliates,英文,AI 销售外联
180,Navan,10-AI营销/销售/CRM,Up to $1000/合格客,30天,https://navan.com/affiliates,英文,AI 差旅+费用
181,Synder,10-AI营销/销售/CRM,10%/15%/20% 阶梯,30天,https://synder.com/affiliates,英文,电商平台账务
182,CallRail,10-AI营销/销售/CRM,$50/新客 + 代理分成,30天,https://www.callrail.com/affiliates,英文,通话追踪
183,Pipedrive,10-AI营销/销售/CRM,33% recurring (12月),90天,https://www.pipedrive.com/affiliates,中英,销售 CRM
184,Apollo.io,10-AI营销/销售/CRM,25% 首年,90天,https://www.apollo.io/affiliate,英文,B2B 销售数据库
185,Cognism,10-AI营销/销售/CRM,Up to 10% recurring,60天,https://www.cognism.com/affiliates,英文,B2B 数据
186,ConvertKit (Kit),10-AI营销/销售/CRM,30% × 24月,90天,https://kit.com/affiliates,英文,创作者邮件长达 24 月
187,Mailchimp,10-AI营销/销售/CRM,$150-$300/单,30天,https://mailchimp.com/affiliates,英文,全球邮件营销
188,Klaviyo,10-AI营销/销售/CRM,$25-$250/单,30天,https://www.klaviyo.com/affiliates,英文,电商邮件
189,Systeme.io,10-AI营销/销售/CRM,60% 终身,90天,https://systeme.io/affiliate,英文,高比例终身营销套件
190,Smartlead,10-AI营销/销售/CRM,30% recurring,30天,https://www.smartlead.ai/affiliates,英文,AI 冷邮件外联
191,Instantly.ai,10-AI营销/销售/CRM,40% 终身,30天,https://instantly.ai/affiliates,英文,AI 冷邮件
192,Smartwriter,10-AI营销/销售/CRM,30% 终身,30天,https://smartwriter.ai/affiliates,英文,AI 个性化邮件
193,Flowith,17-AI音乐/加密/其他,40% recurring,30天,https://flowith.io/affiliates,中英,AI 画布+工作流
194,Lindy.ai,10-AI营销/销售/CRM,20% recurring,30天,https://www.lindy.ai/affiliates,英文,AI 私人助理
195,Crisp,10-AI营销/销售/CRM,20% recurring (12月),30天,https://crisp.chat/en/affiliate,英文,多渠道客服+AI
196,Tidio,10-AI营销/销售/CRM,20% recurring (12月),30天,https://www.tidio.com/partners/affiliate,英文,AI 客服+聊天机器人
197,Intercom,10-AI营销/销售/CRM,20% recurring,30天,https://www.intercom.com/affiliates,英文,AI 客服+Fin AI Agent
198,Freshworks,10-AI营销/销售/CRM,15%-20% recurring (12月),90天,https://www.freshworks.com/affiliates,英文,Freshdesk+AI
199,Zendesk,10-AI营销/销售/CRM,10% 推荐,—,https://www.zendesk.com/affiliates,英文,客服+AI
200,Woorise,10-AI营销/销售/CRM,30% 终身,90天,https://woorise.com/affiliates,英文,互动活动+AI
201,ConvertBox,10-AI营销/销售/CRM,30% recurring,30天,https://convertbox.com/affiliates,英文,高转化弹窗
202,Typebot,10-AI营销/销售/CRM,20% recurring,30天,https://www.typebot.io/affiliates,英文,无代码聊天机器人
203,Lavender,10-AI营销/销售/CRM,20% recurring,30天,https://www.lavender.ai/affiliates,英文,AI 销售邮件
204,Resume.io,11-AI简历/招聘,50% recurring,30天,https://resume.io/affiliates,英文,AI 简历生成
205,Zety,11-AI简历/招聘,$50/单,30天,https://zety.com/affiliates,英文,简历制作
206,Kickresume,11-AI简历/招聘,50% 终身,30天,https://www.kickresume.com/affiliates,英文,AI 简历+求职信
207,Rezi,11-AI简历/招聘,30% recurring,30天,https://www.rezi.ai/affiliates,英文,AI 简历+ATS 优化
208,Teal,11-AI简历/招聘,$20 (Teal+) / $0.10 (免费),30天,https://www.tealhq.com/affiliates,英文,AI 求职平台
209,八股文 AI 写简历,11-AI简历/招聘,10%-20%,30天,https://www.xiazai.cn/,中文,国内 AI 简历服务
210,Replika,12-情感AI/陪伴,20% recurring,30天,https://replika.com/affiliates,英文,AI 陪伴应用
211,Character.AI,12-情感AI/陪伴,暂无公开,—,https://character.ai/,英文,AI 角色扮演
212,Nomi.ai,12-情感AI/陪伴,20% recurring,30天,https://nomi.ai/affiliates,英文,AI 陪伴/情感
213,Janitor AI,12-情感AI/陪伴,20% recurring,30天,https://janitorai.com/,英文,AI 角色聊天
214,Candy.ai,12-情感AI/陪伴,30%-50% recurring,30天,https://candy.ai/,英文,AI 女友平台高返佣
215,DreamGF,12-情感AI/陪伴,30%-50% recurring,30天,https://dreamgf.ai/,英文,AI 女友生成
216,Kupid.ai,12-情感AI/陪伴,30% recurring,30天,https://kupid.ai/,英文,AI 虚拟约会
217,Soulgen,12-情感AI/陪伴,25% recurring,30天,https://www.soulgen.net/,英文,AI 动漫女友生成
218,GirlfriendGPT,12-情感AI/陪伴,30% recurring,30天,https://girlfriendgpt.io/,英文,AI 女友开源
219,CrushOn.AI,12-情感AI/陪伴,20% recurring,30天,https://crushon.ai/,英文,AI 角色聊天 NSFW
220,SpicyChat AI,12-情感AI/陪伴,20% recurring,30天,https://spicychat.ai/,英文,AI 角色聊天
221,PolyBuzz,12-情感AI/陪伴,20% recurring,30天,https://polybuzz.ai/,英文,AI 角色聊天免费版
222,Talkie AI,12-情感AI/陪伴,暂无公开,—,https://www.talkie-ai.com/,中文,国内 AI 角色扮演
223,星野 (Xingye),12-情感AI/陪伴,暂无公开,—,https://www.xingyeai.com/,中文,字节系 AI 角色
224,猫箱 (Maoxiang),12-情感AI/陪伴,暂无公开,—,https://maoxiang.doubao.com/,中文,豆包系 AI 角色
225,筑梦岛 (Zhumengdao),12-情感AI/陪伴,暂无公开,—,https://www.zhumengdao.com/,中文,阅文系 AI 角色
226,聆心智能 (Lingxin),12-情感AI/陪伴,暂无公开,—,https://www.lingxin.ai/,中文,清华系 AI 情感
227,Echo AI,12-情感AI/陪伴,20% recurring,30天,https://echo.ai/,英文,AI 语音陪伴
228,Kindroid,12-情感AI/陪伴,25% recurring,30天,https://kindroid.ai/,英文,AI 角色+记忆
229,Botify AI,12-情感AI/陪伴,20% recurring,30天,https://botify.ai/,英文,AI 角色聊天
